Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HomePageTest Suite,Chrome 71.0.3578.98,,2019-01-17 11:10:23,2019-01-17 11:12:18,1m - 55.177s,PASSED
,,,,,,
Test Cases/HomepageLoad after navigating to url,Chrome 71.0.3578.98,HomepageLoad after navigating to url,2019-01-17 11:10:24,2019-01-17 11:12:18,1m - 54.609s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-17 11:10:25,2019-01-17 11:10:35,10.135s,PASSED
navigateToUrl(appurl),Chrome 71.0.3578.98,,2019-01-17 11:10:35,2019-01-17 11:10:46,10.590s,PASSED
waitForPageLoad(2),Chrome 71.0.3578.98,,2019-01-17 11:10:46,2019-01-17 11:10:48,2.142s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-17 11:10:48,2019-01-17 11:10:51,3.162s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-17 11:10:51,2019-01-17 11:10:53,2.084s,PASSED
"zee5 = verifyElementPresent(findTestObject(""HomepageObjects/Zee5 image check""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:10:53,2019-01-17 11:10:55,2.125s,PASSED
if (zee5 == true),Chrome 71.0.3578.98,,2019-01-17 11:10:55,2019-01-17 11:10:55,0.007s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-17 11:10:55,2019-01-17 11:11:00,5.001s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-17 11:11:00,2019-01-17 11:11:05,5.003s,PASSED
"premium = waitForElementPresent(findTestObject(""HomepageObjects/Premium on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:11:05,2019-01-17 11:11:08,2.084s,PASSED
if (premium == true),Chrome 71.0.3578.98,,2019-01-17 11:11:08,2019-01-17 11:11:08,0.004s,PASSED
"shows = waitForElementPresent(findTestObject(""HomepageObjects/Shows on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:11:08,2019-01-17 11:11:10,2.039s,PASSED
if (shows == true),Chrome 71.0.3578.98,,2019-01-17 11:11:10,2019-01-17 11:11:10,0.003s,PASSED
"movies = waitForElementPresent(findTestObject(""HomepageObjects/Movies on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:11:10,2019-01-17 11:11:12,2.037s,PASSED
if (movies == true),Chrome 71.0.3578.98,,2019-01-17 11:11:12,2019-01-17 11:11:12,0.000s,PASSED
"videos = waitForElementPresent(findTestObject(""HomepageObjects/Videos on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:11:12,2019-01-17 11:11:14,2.033s,PASSED
if (videos == true),Chrome 71.0.3578.98,,2019-01-17 11:11:14,2019-01-17 11:11:14,0.000s,PASSED
"TvGuide = waitForElementPresent(findTestObject(""HomepageObjects/TvGuide on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:11:14,2019-01-17 11:11:16,2.036s,PASSED
if (TvGuide == true),Chrome 71.0.3578.98,,2019-01-17 11:11:16,2019-01-17 11:11:16,0.000s,PASSED
"Languageicon = waitForElementPresent(findTestObject(""HomepageObjects/Language icon on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:11:16,2019-01-17 11:11:18,2.072s,PASSED
if (Languageicon == true),Chrome 71.0.3578.98,,2019-01-17 11:11:18,2019-01-17 11:11:18,0.005s,PASSED
"Searchicon = waitForElementPresent(findTestObject(""HomepageObjects/Search Icon on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:11:18,2019-01-17 11:11:20,2.063s,PASSED
if (Searchicon == true),Chrome 71.0.3578.98,,2019-01-17 11:11:20,2019-01-17 11:11:20,0.000s,PASSED
"Login = waitForElementPresent(findTestObject(""HomepageObjects/Login in homepage""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:11:20,2019-01-17 11:11:22,2.036s,PASSED
if (Login == true),Chrome 71.0.3578.98,,2019-01-17 11:11:22,2019-01-17 11:11:22,0.001s,PASSED
"Threedotmenu = waitForElementPresent(findTestObject(""HomepageObjects/Threedot menu on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:11:22,2019-01-17 11:11:24,2.037s,PASSED
if (Threedotmenu == true),Chrome 71.0.3578.98,,2019-01-17 11:11:24,2019-01-17 11:11:24,0.003s,PASSED
