Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"premiumcontentscheck = verifyElementPresent(findTestObject(""HomepageObjects/Premium contents on Homepage""), 1)",Chrome 71.0.3578.98,,2019-01-17 11:11:24,2019-01-17 11:11:26,2.092s,PASSED
if (premiumcontentscheck == true),Chrome 71.0.3578.98,,2019-01-17 11:11:26,2019-01-17 11:11:26,0.002s,PASSED
"scrollToElement(findTestObject(""HomepageObjects/ContentsPlay on Homepage""), 1)",Chrome 71.0.3578.98,,2019-01-17 11:11:26,2019-01-17 11:11:30,4.098s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-17 11:11:30,2019-01-17 11:11:35,5.004s,PASSED
"click(findTestObject(""HomepageObjects/ContentsPlay on Homepage""))",Chrome 71.0.3578.98,,2019-01-17 11:11:35,2019-01-17 11:11:39,4.157s,PASSED
waitForPageLoad(10),Chrome 71.0.3578.98,,2019-01-17 11:11:39,2019-01-17 11:11:42,2.409s,PASSED
navigateToUrl(appurl),Chrome 71.0.3578.98,,2019-01-17 11:11:42,2019-01-17 11:11:49,7.216s,PASSED
waitForPageLoad(2),Chrome 71.0.3578.98,,2019-01-17 11:11:49,2019-01-17 11:11:51,2.010s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-17 11:11:51,2019-01-17 11:11:53,2.010s,PASSED
"carousalcheck = verifyElementPresent(findTestObject(""HomepageObjects/Carousal on Homepage""), 1)",Chrome 71.0.3578.98,,2019-01-17 11:11:53,2019-01-17 11:11:55,2.037s,PASSED
if (carousalcheck == true),Chrome 71.0.3578.98,,2019-01-17 11:11:55,2019-01-17 11:11:55,0.000s,PASSED
"aboutUs = getText(findTestObject(""HomepageObjects/AboutUs on Homepage""))",Chrome 71.0.3578.98,,2019-01-17 11:11:55,2019-01-17 11:11:59,4.105s,PASSED
println(aboutUs),Chrome 71.0.3578.98,,2019-01-17 11:11:59,2019-01-17 11:11:59,0.001s,PASSED
"if (aboutUs.contentEquals(""About Us""))",Chrome 71.0.3578.98,,2019-01-17 11:11:59,2019-01-17 11:11:59,0.003s,PASSED
"contactUs = getText(findTestObject(""HomepageObjects/Contact Us on Homepage""))",Chrome 71.0.3578.98,,2019-01-17 11:11:59,2019-01-17 11:12:03,4.068s,PASSED
println(contactUs),Chrome 71.0.3578.98,,2019-01-17 11:12:03,2019-01-17 11:12:03,0.002s,PASSED
"if (contactUs.contentEquals(""Contact Us""))",Chrome 71.0.3578.98,,2019-01-17 11:12:03,2019-01-17 11:12:03,0.003s,PASSED
"Help = getText(findTestObject(""HomepageObjects/Help on Homepage""))",Chrome 71.0.3578.98,,2019-01-17 11:12:03,2019-01-17 11:12:07,4.069s,PASSED
println(Help),Chrome 71.0.3578.98,,2019-01-17 11:12:07,2019-01-17 11:12:07,0.002s,PASSED
"if (Help.contentEquals(""Help""))",Chrome 71.0.3578.98,,2019-01-17 11:12:07,2019-01-17 11:12:07,0.002s,PASSED
"privacypolicy = getText(findTestObject(""HomepageObjects/PrivacyPolicy on Homepage""))",Chrome 71.0.3578.98,,2019-01-17 11:12:07,2019-01-17 11:12:11,4.057s,PASSED
println(privacypolicy),Chrome 71.0.3578.98,,2019-01-17 11:12:11,2019-01-17 11:12:11,0.002s,PASSED
"if (privacypolicy.contentEquals(""Privacy Policy""))",Chrome 71.0.3578.98,,2019-01-17 11:12:11,2019-01-17 11:12:11,0.003s,PASSED
"termsofuse = getText(findTestObject(""HomepageObjects/TermsOfuse on Homepage""))",Chrome 71.0.3578.98,,2019-01-17 11:12:11,2019-01-17 11:12:15,4.102s,PASSED
println(termsofuse),Chrome 71.0.3578.98,,2019-01-17 11:12:15,2019-01-17 11:12:15,0.001s,PASSED
"if (termsofuse.contentEquals(""TermsofUse""))",Chrome 71.0.3578.98,,2019-01-17 11:12:15,2019-01-17 11:12:15,0.000s,PASSED
else,Chrome 71.0.3578.98,,2019-01-17 11:12:15,2019-01-17 11:12:15,0.004s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-17 11:12:15,2019-01-17 11:12:18,3.047s,PASSED
