Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Zee5TestSuite,Chrome 71.0.3578.98,,2019-01-25 10:12:09,2019-01-25 10:26:24,14m - 14.259s,ERROR
,,,,,,
Test Cases/Test Case Z5-333-Home Page,Chrome 71.0.3578.98,HomepageLoad after navigating to url,2019-01-25 10:12:10,2019-01-25 10:15:13,3m - 3.234s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-25 10:12:11,2019-01-25 10:12:22,10.774s,PASSED
navigateToUrl(appurl),Chrome 71.0.3578.98,,2019-01-25 10:12:22,2019-01-25 10:12:35,13.440s,PASSED
waitForPageLoad(2),Chrome 71.0.3578.98,,2019-01-25 10:12:35,2019-01-25 10:12:37,2.128s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-25 10:12:37,2019-01-25 10:12:41,3.421s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-25 10:12:41,2019-01-25 10:12:43,2.093s,PASSED
"zee5 = verifyElementPresent(findTestObject(""HomepageObjects/Zee5 image check""), 5)",Chrome 71.0.3578.98,,2019-01-25 10:12:43,2019-01-25 10:12:45,2.116s,PASSED
if (zee5 == true),Chrome 71.0.3578.98,,2019-01-25 10:12:45,2019-01-25 10:12:45,0.011s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-25 10:12:45,2019-01-25 10:12:50,5.003s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-25 10:12:50,2019-01-25 10:12:55,5.008s,PASSED
"premium = waitForElementPresent(findTestObject(""HomepageObjects/Premium on homepage""), 2)",Chrome 71.0.3578.98,,2019-01-25 10:12:55,2019-01-25 10:12:57,2.091s,PASSED
if (premium == true),Chrome 71.0.3578.98,,2019-01-25 10:12:57,2019-01-25 10:12:57,0.007s,PASSED
"shows = waitForElementPresent(findTestObject(""HomepageObjects/Shows on homepage""), 2)",Chrome 71.0.3578.98,,2019-01-25 10:12:57,2019-01-25 10:12:59,2.055s,PASSED
if (shows == true),Chrome 71.0.3578.98,,2019-01-25 10:12:59,2019-01-25 10:12:59,0.009s,PASSED
"movies = waitForElementPresent(findTestObject(""HomepageObjects/Movies on homepage""), 2)",Chrome 71.0.3578.98,,2019-01-25 10:12:59,2019-01-25 10:13:01,2.126s,PASSED
if (movies == true),Chrome 71.0.3578.98,,2019-01-25 10:13:01,2019-01-25 10:13:01,0.000s,PASSED
"news = waitForElementPresent(findTestObject(""HomepageObjects/News on homepage""), 2)",Chrome 71.0.3578.98,,2019-01-25 10:13:01,2019-01-25 10:13:03,2.050s,PASSED
if (news == true),Chrome 71.0.3578.98,,2019-01-25 10:13:03,2019-01-25 10:13:03,0.005s,PASSED
"videos = waitForElementPresent(findTestObject(""HomepageObjects/Videos on homepage""), 2)",Chrome 71.0.3578.98,,2019-01-25 10:13:03,2019-01-25 10:13:06,2.051s,PASSED
if (videos == true),Chrome 71.0.3578.98,,2019-01-25 10:13:06,2019-01-25 10:13:06,0.004s,PASSED
"livetv = waitForElementPresent(findTestObject(""HomepageObjects/LiveTv on homepage""), 5)",Chrome 71.0.3578.98,,2019-01-25 10:13:06,2019-01-25 10:13:11,5.082s,PASSED
if (livetv == true),Chrome 71.0.3578.98,,2019-01-25 10:13:11,2019-01-25 10:13:11,0.003s,PASSED
else,Chrome 71.0.3578.98,,2019-01-25 10:13:11,2019-01-25 10:13:11,0.004s,PASSED
