Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HomePageTest Suite,Chrome 71.0.3578.98,,2019-01-10 21:00:51,2019-01-10 21:02:46,1m - 54.606s,PASSED
,,,,,,
Test Cases/HomepageLoad after navigating to url,Chrome 71.0.3578.98,HomepageLoad after navigating to url,2019-01-10 21:00:52,2019-01-10 21:02:46,1m - 53.965s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-10 21:00:53,2019-01-10 21:01:03,9.747s,PASSED
navigateToUrl(appurl),Chrome 71.0.3578.98,,2019-01-10 21:01:03,2019-01-10 21:01:12,9.132s,PASSED
waitForPageLoad(2),Chrome 71.0.3578.98,,2019-01-10 21:01:12,2019-01-10 21:01:14,2.158s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-10 21:01:14,2019-01-10 21:01:18,3.215s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-10 21:01:18,2019-01-10 21:01:20,2.106s,PASSED
"zee5 = verifyElementPresent(findTestObject(""HomepageObjects/Zee5 image check""), 0)",Chrome 71.0.3578.98,,2019-01-10 21:01:20,2019-01-10 21:01:22,2.164s,PASSED
if (zee5 == true),Chrome 71.0.3578.98,,2019-01-10 21:01:22,2019-01-10 21:01:22,0.007s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-10 21:01:22,2019-01-10 21:01:27,5.007s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-10 21:01:27,2019-01-10 21:01:32,5.011s,PASSED
"premium = waitForElementPresent(findTestObject(""HomepageObjects/Premium on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-10 21:01:32,2019-01-10 21:01:34,2.165s,PASSED
if (premium == true),Chrome 71.0.3578.98,,2019-01-10 21:01:34,2019-01-10 21:01:34,0.008s,PASSED
"shows = waitForElementPresent(findTestObject(""HomepageObjects/Shows on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-10 21:01:34,2019-01-10 21:01:36,2.103s,PASSED
if (shows == true),Chrome 71.0.3578.98,,2019-01-10 21:01:36,2019-01-10 21:01:36,0.005s,PASSED
"movies = waitForElementPresent(findTestObject(""HomepageObjects/Movies on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-10 21:01:36,2019-01-10 21:01:38,2.075s,PASSED
if (movies == true),Chrome 71.0.3578.98,,2019-01-10 21:01:38,2019-01-10 21:01:38,0.004s,PASSED
"videos = waitForElementPresent(findTestObject(""HomepageObjects/Videos on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-10 21:01:38,2019-01-10 21:01:40,2.047s,PASSED
if (videos == true),Chrome 71.0.3578.98,,2019-01-10 21:01:40,2019-01-10 21:01:40,0.004s,PASSED
"TvGuide = waitForElementPresent(findTestObject(""HomepageObjects/TvGuide on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-10 21:01:40,2019-01-10 21:01:42,2.088s,PASSED
if (TvGuide == true),Chrome 71.0.3578.98,,2019-01-10 21:01:42,2019-01-10 21:01:42,0.003s,PASSED
"Languageicon = waitForElementPresent(findTestObject(""HomepageObjects/Language icon on homepage""), 0)",Chrome 71.0.3578.98,,2019-01-10 21:01:42,2019-01-10 21:01:44,2.074s,PASSED
